node,Proportional,Uniform
697,774.4893,781.8636
698,43.0067,43.2582
699,569.5581,567.2155
700,85.1635,86.4241
701,433.8847,432.6733
702,740.3980,693.4183
703,663.0217,656.8343
704,178.3454,173.5844
705,220.4006,217.0265
706,484.0231,478.5030
707,656.3239,654.3742
708,1263.3425,1087.4231
709,743.2128,743.5390
710,1123.5465,1099.4415
711,278.8877,261.4761
712,362.5822,350.7303
713,2087.2296,2067.5404
714,185.3969,175.6807
715,47.2126,43.7163
716,1279.3012,1235.6481
717,420.0369,396.5299
718,1109.7548,1062.7551
719,849.2137,798.0974
720,139.2566,133.4938
721,382.1897,357.0229
722,1217.4157,1115.9478
723,423.7658,402.4395
724,2389.8899,2268.9266
725,1236.8609,1123.0400
726,1096.2274,1025.5603
727,1292.9845,1216.0640
728,535.3888,493.3568
729,1070.5144,990.2418
730,1894.1221,1765.9697
731,970.7354,904.3387
732,823.7937,767.0576
733,399.1178,364.8357
734,1322.3182,1231.9438
735,1110.7027,1040.8290
736,378.2915,363.4469
737,341.8523,317.4281
738,1302.3734,1228.5635
739,503.3380,459.7046
740,336.1588,318.4724
741,617.9600,593.1820
742,1009.7463,917.8625
743,1095.1633,1008.2590
744,347.5173,320.1166
745,1712.7317,1606.6025
746,1154.5378,1060.1825
747,865.7502,785.5506
748,1447.5273,1337.8818
749,762.1196,695.5588
750,725.8283,651.9034
751,1045.6256,934.5638
752,686.8328,609.8155
753,1096.8263,988.9072
754,1323.5967,1186.9478
755,1325.8619,1143.8294
756,221.1920,190.4762
757,816.7397,708.9379
758,1562.4194,1337.7880
760,1461.7843,1246.2140
761,282.0976,240.5722
762,1804.1155,1563.2718
763,1924.1721,1633.5995
764,171.4059,144.8847
765,1139.0288,964.9170
766,458.7865,387.4408
767,215.6662,209.4562
768,834.8574,1011.0415
769,212.0533,246.8712
770,630.6705,743.6093
771,291.6730,351.6010
772,121.6813,140.8542
773,486.8935,597.6151
774,269.7174,319.1182
775,1025.4421,1250.4742
776,970.4253,1180.6812
777,318.8689,389.7597
778,843.9331,1029.4891
779,327.2783,389.4381
780,1307.8547,1584.6764
781,343.7244,426.5222
782,995.9267,1220.2001
783,172.8064,214.4865
784,258.1448,322.2080
785,233.6223,286.9382
786,574.2131,690.5886
787,144.0188,179.8537
788,607.5539,755.8503
789,208.6800,251.1375
790,345.6935,432.3689
791,264.8534,323.1633
792,1948.9752,2398.1990
793,58.0518,72.1321
794,59.5030,71.9203
795,203.0948,252.5154
796,291.7960,360.6604
797,1338.6889,1674.1330
798,144.8447,180.9120
799,144.3969,181.2289
800,607.3878,761.6662
801,510.6043,620.9779
802,395.2257,477.1260
803,116.0667,145.1097
804,145.3318,181.8616
805,91.5109,110.4607
806,600.3093,731.9657
807,231.6969,290.2194
808,735.8164,886.1921
809,434.3343,546.7422
810,322.4573,401.5267
811,116.1205,145.7421
812,853.4466,1033.5049
813,1226.0591,1487.3369
814,1025.6087,1227.2656
815,408.6545,512.3044
816,469.9011,586.4348
817,438.4873,549.8941
818,772.1711,956.5564
819,980.0667,1184.7856
820,499.2314,625.3847
821,147.3422,183.9617
822,482.0467,593.3321
823,352.1488,441.5289
824,967.4534,1160.6093
825,737.5842,892.7561
826,177.0295,221.4441
827,266.5349,332.6357
828,177.0180,221.4441
829,496.3499,600.2879
