node,Proportional,Uniform
414,48.4862,693.1629
415,357.3581,500.0799
416,528.3208,880.4503
417,659.5263,877.3364
418,279.9255,692.4581
419,1494.3009,1566.9677
420,690.4975,879.0364
421,1226.3845,1757.5013
422,101.7167,252.5842
423,16.8712,505.7304
424,30.5144,442.6899
425,685.3340,1132.7527
426,906.2237,1071.2641
427,558.1855,759.1568
428,111.4561,633.0755
429,73.2185,698.3586
430,15.7405,253.8468
431,15.9536,253.9869
432,781.1584,1644.1117
433,1531.1662,2202.7368
434,21.4378,507.6936
435,1197.9014,1574.5998
436,114.2283,572.5533
437,234.4456,317.5879
438,619.4948,886.2214
439,54.7660,573.9475
440,647.8087,1077.8666
441,20.6005,318.4265
442,601.5635,764.3344
443,50.3270,639.7735
444,18.7327,191.6410
445,461.7633,762.1000
446,1007.4068,1275.2347
447,92.6809,447.1620
448,797.2471,1395.1746
449,261.0767,380.4901
450,721.5313,1081.9235
451,3815.2964,3487.0167
452,62.8833,512.7083
453,594.2989,1016.3653
454,308.9550,770.0309
455,793.2629,1085.9619
456,720.1193,1334.5122
457,576.2366,957.9252
458,477.5698,893.3492
459,319.0064,447.5790
460,671.8275,768.3685
461,292.8247,449.3812
462,291.7776,772.2424
463,733.3283,1536.0394
464,547.7463,1087.0756
465,1198.8264,1415.0625
466,552.6249,769.0612
467,537.3847,644.4784
468,1036.1871,1157.6050
469,212.0399,1613.3289
470,615.2520,515.8858
471,351.8176,643.3748
472,779.1292,1482.1175
473,2673.2783,2948.8882
474,659.8335,1350.0745
475,595.5735,904.9671
476,837.1165,1545.7262
477,946.3956,1802.2152
478,784.4276,712.4865
479,769.7934,1034.7970
480,370.2126,907.7095
481,127.7737,584.3002
482,182.0463,455.9725
483,539.3648,779.5219
484,693.8140,1231.1178
485,842.3938,1170.3738
486,739.4336,585.6657
487,237.6021,391.3973
488,1497.3242,1626.4828
489,1097.2409,1495.4229
490,797.6761,1364.2297
491,245.9675,914.2564
492,1057.8912,1819.9278
493,247.7743,391.8051
494,626.2835,457.4683
495,1289.7936,2268.7875
496,949.0797,719.4400
497,490.0377,784.9673
498,362.2708,459.3646
499,333.4696,458.2817
500,939.0339,2213.5062
501,798.4982,590.0120
502,600.7002,458.6883
503,640.8123,978.5606
504,452.5381,656.8911
505,639.8531,590.1475
506,787.9726,720.3881
507,977.3023,917.2410
508,598.9198,328.3107
509,253.2112,327.0925
510,350.9476,328.7157
511,535.5476,590.1475
512,879.3141,917.2410
513,942.8048,1833.3941
514,94.8125,65.7971
515,1042.4334,1766.7789
516,94.8125,65.7971
517,660.8121,593.2499
518,504.1398,854.2814
519,771.2228,592.3078
520,816.2832,790.2368
521,182.1940,131.8633
522,653.7146,1773.0079
523,954.7980,659.7180
524,860.0972,858.7202
525,1388.9269,859.3909
526,331.2975,1185.5551
527,357.6022,990.9879
528,305.5986,1254.4448
529,421.3252,1256.4567
530,165.6901,862.2014
531,207.4377,729.6680
532,1686.4428,2798.3775
533,319.4678,1532.8539
534,287.0695,281.4238
535,343.5213,338.9075
536,3430.5464,2022.9739
537,439.8244,452.1834
538,414.8583,452.7965
539,521.3328,510.1242
540,517.1541,568.6754
541,509.4796,511.6551
542,571.5976,511.3488
543,518.5910,512.1135
544,601.2980,627.8335
545,673.9176,684.7011
546,622.5146,572.6410
547,426.9087,400.9704
548,420.3957,401.8821
549,364.8515,343.0363
550,322.8723,286.7767
551,689.3808,632.0934
552,437.8789,403.2480
553,963.9921,868.5107
554,475.0587,466.6101
555,372.8528,345.4681
556,367.2520,394.8541
557,192.9559,610.5361
558,77.1981,244.4464
559,39.0763,122.2232
560,126.3236,489.3269
561,33.8056,122.0784
562,69.6636,306.3539
563,36.0696,122.3681
564,50.1114,552.5335
565,81.0335,244.5913
566,233.0476,551.3786
567,49.0110,553.2552
568,78.5326,245.4587
569,54.4741,184.1301
570,77.3251,369.2687
571,49.0435,431.0299
572,50.7313,616.3116
573,135.1638,554.6950
574,48.5862,681.9446
575,334.4766,1048.3473
576,34.3990,432.7542
577,33.8302,556.9918
578,51.6463,371.8532
579,28.0672,186.1412
580,66.6056,621.8980
581,99.1756,808.0389
582,74.3748,744.5638
583,26.5901,186.5697
584,60.9855,806.3249
585,51.7537,373.5669
586,97.6467,434.3290
587,31.8798,249.1871
588,46.0673,812.5946
589,234.0788,621.4702
590,20.3273,311.3770
591,11.5263,187.5658
592,67.4216,559.9934
593,29.6837,374.7052
594,34.0574,499.3700
595,29.1888,312.7989
596,22.2726,500.0799
597,10.3350,187.9912
598,8.6002,249.8985
599,30.8918,501.2153
600,29.7962,314.0735
601,26.7368,501.3569
602,79.8102,375.2729
603,17.5747,313.3659
604,437.0877,464.6542
605,235.5503,291.6127
606,199.9918,233.9805
607,471.1619,323.4905
608,269.5705,215.9760
609,880.8340,648.7155
610,22664.1106,10747.7158
611,315.8666,271.4663
612,515.0599,435.7287
613,1832.9181,1142.7667
614,1627.3426,1151.6955
615,708.9539,657.8230
616,605.6551,549.6695
617,14127.6974,7122.8641
618,721.1704,717.8296
619,1132.1002,939.4421
620,777.8530,776.5767
621,5695.8560,2988.8070
622,955.8476,945.8116
623,691.3776,612.1513
624,759.4752,727.6001
625,471.5688,504.1275
626,533.0393,561.6152
627,390.8620,451.1084
628,293.3678,340.7467
629,2722.3487,1564.3088
630,135.8698,1122.1240
631,64.6315,1368.3150
632,100.7992,1371.0234
633,176.2432,876.4881
634,85.7915,1375.0057
635,87.3268,501.7817
636,102.8454,439.8718
637,19.5223,249.8982
638,472.3939,821.2111
639,35.7134,753.0967
640,47.1614,940.3793
641,78.5252,440.7195
642,33.3098,753.5207
643,773.0154,1454.0021
644,44.9307,629.1350
645,28.4975,627.7223
646,396.1048,821.2132
647,47.4765,376.9729
648,35.9232,629.5586
649,35.3237,691.8934
650,82.3689,820.7925
651,60.7357,567.0822
652,80.1838,505.5900
653,159.5982,442.9704
654,736.9053,1142.4497
655,35.4222,441.9869
656,77.4174,317.1685
657,176.1224,757.7520
658,65.9040,819.6658
659,93.0687,633.6354
660,74.0945,506.7128
661,80.2063,443.8115
662,55.8376,316.4675
663,67.8833,317.1685
664,48.1624,947.4349
665,174.6991,571.9940
666,141.9377,570.0344
667,327.9003,827.5168
668,55.7780,190.5251
669,231.9296,1141.7494
670,64.9668,190.8048
671,159.3802,636.0154
672,411.7709,766.2846
673,205.7236,892.0956
674,175.8382,702.4046
675,131.7513,447.0225
676,54.6950,509.0909
677,2113.6031,2820.1598
678,67.4622,1146.0820
679,134.7876,638.5242
680,204.1242,704.0718
681,248.5037,1150.6769
682,227.5434,1089.5726
683,323.0601,1027.3537
684,81.4596,895.4334
685,174.0376,962.9190
686,315.7185,1152.2046
687,158.4007,901.9371
688,296.1637,1225.3479
689,95.2659,386.6042
690,725.3507,1354.6295
691,99.2768,1027.3531
692,86.5974,1286.4708
693,249.2026,646.1294
694,346.5728,901.2496
695,274.2240,902.3517
696,440.3184,1103.7521
697,461.0836,1167.0942
698,32.8536,64.5718
699,687.6469,1364.9085
700,101.5006,193.5778
701,212.3810,710.7012
702,111.7123,1035.0712
703,1249.7918,2018.1295
704,141.1658,259.1109
705,121.3977,453.9233
706,205.9219,909.7600
707,260.5969,976.7898
708,175.2835,1623.2054
709,332.2819,1109.8869
710,1071.9543,2296.4122
711,126.7633,390.3076
712,205.8239,523.5380
713,1189.2795,3086.2345
714,335.2789,524.2121
715,9.0176,65.2556
716,631.7410,1844.4622
717,403.1397,723.6322
718,512.1621,1916.5784
719,856.2569,1456.3931
720,114.2809,331.9344
721,53.9228,532.9311
722,254.6245,1665.7844
723,240.6801,800.5241
724,1028.9627,3386.8454
725,168.6250,1676.3711
726,1192.4436,1864.5248
727,1426.2278,2351.4676
728,522.8016,870.5635
729,653.9530,1612.9243
730,1777.9928,3038.8509
731,364.9580,1349.9138
732,195.6794,1144.9931
733,437.3117,612.5057
734,1481.8262,2514.9344
735,180.3048,1689.4788
736,73.9067,542.5202
737,317.0111,744.9577
738,929.5904,1833.8869
739,745.3433,891.4897
740,138.1936,611.3406
741,185.0283,885.4477
742,1360.0721,1713.1374
743,885.1523,1505.0365
744,318.4962,682.7401
745,709.8340,2604.3691
746,646.4019,1651.6092
747,1146.1030,1379.7951
748,505.6194,1997.0672
749,272.0618,1038.2664
750,449.6401,1111.9898
751,403.3691,1464.8515
752,601.9659,1120.6076
753,647.5760,1476.1499
754,740.7509,1842.9391
755,666.7519,1636.5960
756,142.8774,284.3254
757,714.3628,1128.0578
758,917.6438,2139.1504
760,630.0484,1860.2340
761,202.6660,359.2236
762,2943.6049,3256.9754
763,1710.5123,2871.8298
764,165.3647,288.2818
765,817.3874,1584.7172
766,710.6820,940.3991
767,11.1101,312.6569
768,7594.6608,4006.5816
769,5967.1827,3130.8807
770,3669.9364,2368.4755
771,1686.8491,1049.3565
772,3849.5967,2049.9070
773,1202.7924,944.5489
774,1237.4290,792.6935
775,1760.5090,1866.5931
776,1880.8853,1762.4125
777,683.1597,581.7976
778,2187.5168,1800.7446
779,4260.3897,2218.2241
780,2206.8028,2365.4595
781,638.3757,636.6732
782,2156.8134,2033.7336
783,369.9574,373.4473
784,458.5418,480.9626
785,556.9470,534.8782
786,891.8639,1030.8474
787,252.8392,268.4691
788,1040.8798,1128.2639
789,7512.4610,3599.3740
790,600.2453,645.4007
791,1378.7289,963.3508
792,3023.4076,3579.8114
793,339.8635,268.7853
794,748.7494,428.9486
795,433.3559,376.9319
796,648.3616,538.3607
797,2249.0298,2498.9921
798,321.6705,323.9640
799,266.7151,270.5219
800,1010.3634,1136.9455
801,727.6543,926.9389
802,562.3262,712.2098
803,199.4361,216.6065
804,252.2072,271.4663
805,122.5352,164.8856
806,838.4783,1092.6112
807,496.6457,433.2130
808,1061.2071,1322.8262
809,789.3636,816.1266
810,548.1752,599.3621
811,249.6094,217.5504
812,1157.1637,1542.7213
813,1685.6561,2220.1601
814,1375.6083,1831.9494
815,859.8932,764.7210
816,777.6057,875.3760
817,735.3562,820.8315
818,1170.4825,1427.8596
819,1335.3601,1768.5392
820,789.4821,933.5170
821,234.7905,274.6011
822,781.0454,885.6716
823,686.3912,659.0739
824,1269.4783,1732.4510
825,1125.1113,1332.6244
826,288.4032,330.5514
827,438.2136,496.5280
828,284.5249,330.5514
829,678.1689,896.0547
830,294.3101,330.5514
831,286.5767,332.2640
832,672.1063,716.2716
833,336.5367,387.2785
834,622.5710,663.9054
835,748.7412,957.5484
836,271.2470,333.3511
837,1289.4014,1845.7345
838,242.1483,277.7150
839,199.6621,221.6130
840,384.8023,443.5365
841,474.2314,556.3600
842,769.0373,1004.8549
843,595.0386,666.0808
844,348.7878,396.2360
845,236.7233,278.3353
846,881.4891,1120.7607
847,726.5542,851.7865
848,344.1008,390.6911
849,1040.3395,1412.4948
850,592.0871,795.6855
851,297.4230,335.6732
852,806.5865,1130.1500
853,244.7465,279.2640
854,1359.6653,1745.7110
855,387.4019,446.6366
856,654.6850,901.4463
857,496.3078,616.7899
858,198.9082,224.0910
859,274.0911,395.6221
860,398.9138,447.1005
861,540.9441,683.3268
862,484.4151,557.7542
863,786.3695,1125.5392
864,506.9763,505.5156
865,491.1709,627.6807
866,328.3080,454.0227
867,535.8782,615.3986
868,257.4624,280.8077
869,145.4427,167.9911
870,395.6858,568.0642
871,149.7401,167.9911
872,51.1638,56.0999
873,254.8707,338.2930
874,508.7039,507.5159
875,269.1327,281.1156
876,348.6991,393.3157
877,319.8150,338.1392
878,435.3800,450.6472
879,392.6280,566.3798
880,461.0499,628.2908
881,724.0487,1026.0596
882,329.5380,456.9249
883,717.9881,735.2964
884,246.4552,343.1888
885,1375.9430,1877.3879
886,582.2394,795.0746
887,432.4741,452.9503
888,242.3139,287.2324
889,391.8230,459.5112
890,340.3451,396.3892
891,693.7342,969.8023
892,621.2464,805.7373
893,483.0583,564.9990
894,681.5882,738.0537
895,149.1921,170.1439
896,623.3307,804.5239
897,360.4352,455.7044
898,442.7056,570.2027
899,396.1008,454.0222
900,325.7157,399.2944
901,972.9181,1492.4190
902,398.1335,575.2236
903,566.8225,570.2027
904,369.6345,455.7044
905,593.6219,916.2856
906,1158.2110,1667.7369
